# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.02.2005 по 03.07.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.04.2022 18:00";"-0.3";"735.9";"749.8";"-1.6";"99";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.3";"-0.5";"9.0";"12";"";"";"";"";
"02.04.2022 15:00";"0.3";"737.5";"751.5";"-1.1";"90";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-1.2";"";"";"";"";"";"";
"02.04.2022 12:00";"0.1";"738.6";"752.5";"-1.9";"85";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"19.0";"-2.1";"";"";"";"";"";"";
"02.04.2022 09:00";"-1.9";"740.5";"754.5";"-0.6";"93";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.4";"-2.9";"1.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"10.0";
"02.04.2022 06:00";"-0.4";"741.1";"755.1";"-0.9";"70";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"-0.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.3";"Осадков нет";"12";"";"";"";"";
"02.04.2022 03:00";"-0.1";"742.0";"756.1";"-1.1";"69";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-5.1";"";"";"";"";"";"";
"02.04.2022 00:00";"1.1";"743.1";"757.0";"-1.2";"67";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.4";"";"";"";"";"";"";
"01.04.2022 21:00";"2.0";"744.3";"758.2";"0.0";"56";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"4.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"-5.9";"Осадков нет";"12";"";"";"";"";
"01.04.2022 18:00";"3.3";"744.3";"758.2";"-0.7";"51";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-6.1";"0.1";"12";"";"";"";"";
"01.04.2022 15:00";"4.5";"745.0";"758.8";"-1.2";"53";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-4.4";"";"";"";"";"";"";
"01.04.2022 12:00";"1.3";"746.2";"760.3";"0.0";"73";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-3.0";"";"";"";"";"";"";
"01.04.2022 09:00";"-0.4";"746.2";"760.3";"0.6";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.6";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"20.0";"-2.6";"0.8";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"11.0";
"01.04.2022 06:00";"-0.4";"745.6";"759.6";"0.6";"91";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"16.0";"-1.7";"1.0";"12";"";"";"";"";
"01.04.2022 03:00";"-0.3";"745.0";"759.1";"0.5";"92";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось.  Диаметр отложения при гололеде составляет 2 мм.";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"13.0";"-1.5";"";"";"";"";"";"";
"01.04.2022 00:00";"-0.4";"744.5";"758.6";"0.1";"92";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"6.0";"-1.5";"";"";"";"";"";"";
"31.03.2022 21:00";"-0.4";"744.4";"758.5";"0.4";"92";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения.  Диаметр отложения при гололеде составляет 1 мм.";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"2.5";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"8.0";"-1.5";"2.0";"12";"";"";"";"";
"31.03.2022 18:00";"0.0";"744.0";"758.0";"-0.3";"91";"Ветер, дующий с востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"6.0";"-1.3";"1.0";"12";"";"";"";"";
"31.03.2022 15:00";"0.2";"744.3";"758.3";"-0.5";"87";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.9";"-1.7";"";"";"";"";"";"";
"31.03.2022 12:00";"1.8";"744.8";"758.8";"0.2";"61";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высокослоистые просвечивающие.";"";"20.0";"-4.9";"";"";"";"";"";"";
"31.03.2022 09:00";"-0.6";"744.6";"758.6";"0.6";"65";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"-7.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"-6.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"8.0";
"31.03.2022 06:00";"-7.8";"744.0";"758.5";"0.5";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-7.8";"";"";"";"";"";"";"20.0";"-10.9";"Осадков нет";"12";"";"";"";"";
"31.03.2022 03:00";"-5.2";"743.5";"757.9";"0.2";"69";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-10.1";"";"";"";"";"";"";
"31.03.2022 00:00";"-1.9";"743.3";"757.5";"0.2";"49";"Ветер, дующий с юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-11.4";"";"";"";"";"";"";
"30.03.2022 21:00";"-2.2";"743.1";"757.3";"1.1";"54";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"1.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-10.4";"Следы осадков";"12";"";"";"";"";
"30.03.2022 18:00";"-0.1";"742.0";"756.1";"0.4";"37";"Ветер, дующий с северо-запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-13.1";"Следы осадков";"12";"";"";"";"";
"30.03.2022 15:00";"1.0";"741.6";"755.5";"0.2";"36";"Ветер, дующий с юго-юго-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-12.4";"";"";"";"";"";"";
"30.03.2022 12:00";"-1.7";"741.4";"755.5";"1.0";"50";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-10.9";"";"";"";"";"";"";
"30.03.2022 09:00";"-3.1";"740.4";"754.6";"1.4";"65";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"-5.3";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.8";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"9.0";
"30.03.2022 06:00";"-4.5";"739.0";"753.1";"1.2";"84";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"-4.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"6.0";"-6.9";"Следы осадков";"12";"";"";"";"";
"30.03.2022 03:00";"-3.5";"737.8";"751.9";"1.0";"74";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.5";"";"";"";"";"";"";
"30.03.2022 00:00";"-2.9";"736.8";"750.8";"0.8";"77";"Ветер, дующий с северо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-6.5";"";"";"";"";"";"";
"29.03.2022 21:00";"-1.6";"736.0";"750.1";"0.9";"69";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.7";"Следы осадков";"12";"";"";"";"";
"29.03.2022 18:00";"-0.8";"735.1";"749.0";"0.6";"72";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"1000-1500";"";"";"18.0";"-5.3";"0.2";"12";"";"";"";"";
"29.03.2022 15:00";"0.3";"734.5";"748.3";"1.0";"64";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-5.7";"";"";"";"";"";"";
"29.03.2022 12:00";"0.4";"733.5";"747.3";"1.8";"61";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.4";"";"";"";"";"";"";
"29.03.2022 09:00";"0.4";"731.7";"745.4";"1.6";"85";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.1";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"20.0";"-1.8";"2.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"13.0";
"29.03.2022 06:00";"1.0";"730.1";"743.8";"0.4";"81";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"-1.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.9";"3.0";"12";"";"";"";"";
"29.03.2022 03:00";"0.9";"729.7";"743.4";"0.6";"83";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.7";"";"";"";"";"";"";
"29.03.2022 00:00";"0.8";"729.1";"742.9";"0.1";"91";"Ветер, дующий с запада";"1";"";"";"100%.";"Снег неливневый. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"-0.5";"";"";"";"";"";"";
"28.03.2022 21:00";"0.4";"729.0";"742.7";"-2.8";"91";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.7";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"7.0";"-0.9";"6.0";"12";"";"";"";"";
"28.03.2022 18:00";"-1.5";"731.8";"745.6";"-3.4";"96";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-2.1";"4.0";"12";"";"";"";"";
"28.03.2022 15:00";"-3.4";"735.2";"749.2";"-4.0";"91";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.2";"-4.7";"";"";"";"";"";"";
"28.03.2022 12:00";"-4.4";"739.2";"753.4";"-4.1";"70";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-9.2";"";"";"";"";"";"";
"28.03.2022 09:00";"-5.0";"743.3";"757.6";"-1.8";"51";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-7.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"20.0";"-13.7";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"4.0";
"28.03.2022 06:00";"-7.0";"745.1";"759.6";"-0.6";"53";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"-7.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-15.0";"0.1";"12";"";"";"";"";
"28.03.2022 03:00";"-5.6";"745.7";"760.0";"0.1";"50";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-14.5";"";"";"";"";"";"";
"28.03.2022 00:00";"-4.8";"745.6";"759.9";"1.0";"44";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-15.4";"";"";"";"";"";"";
"27.03.2022 21:00";"-4.0";"744.6";"758.8";"2.1";"45";"Ветер, дующий с северо-запада";"3";"";"12";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Метель";"";"-2.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-14.2";"Следы осадков";"12";"";"";"";"";
"27.03.2022 18:00";"-3.1";"742.5";"756.7";"2.3";"46";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-13.1";"0.1";"12";"";"";"";"";
"27.03.2022 15:00";"-3.6";"740.2";"754.3";"2.4";"66";"Ветер, дующий с северо-запада";"4";"12";"13";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"9.0";"-9.1";"";"";"";"";"";"";
"27.03.2022 12:00";"-3.4";"737.8";"751.9";"2.4";"59";"Ветер, дующий с северо-запада";"4";"11";"13";"90  или более, но не 100%";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"-10.4";"";"";"";"";"";"";
"27.03.2022 09:00";"-3.7";"735.4";"749.5";"2.6";"64";"Ветер, дующий с северо-запада";"4";"11";"12";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-4.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-9.5";"0.6";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"5.0";
"27.03.2022 06:00";"-3.4";"732.8";"746.8";"1.1";"91";"Ветер, дующий с северо-запада";"3";"";"10";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.4";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"4.8";"-4.7";"0.5";"12";"";"";"";"";
"27.03.2022 03:00";"-2.0";"731.7";"745.6";"0.8";"77";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"14.0";"-5.6";"";"";"";"";"";"";
"27.03.2022 00:00";"-0.7";"730.9";"744.7";"0.3";"77";"Ветер, дующий с северо-запада";"3";"";"12";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"13.0";"-4.2";"";"";"";"";"";"";
"26.03.2022 21:00";"1.7";"730.6";"744.4";"-0.1";"70";"Ветер, дующий с запада";"2";"";"";"70 – 80%.";" ";"";"";"";"5.8";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.2";"2.0";"12";"";"";"";"";
"26.03.2022 18:00";"4.1";"730.7";"744.3";"-0.2";"50";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.4";"2.0";"12";"";"";"";"";
"26.03.2022 15:00";"3.2";"730.9";"744.5";"-0.2";"71";"Ветер, дующий с западо-северо-запада";"2";"";"13";"70 – 80%.";"Ливневый град, или дождь и град. ";"Ливень (ливни).";"Дождь.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.7";"";"";"";"";"";"";
"26.03.2022 12:00";"4.6";"731.1";"744.7";"-3.7";"81";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"9.0";"1.5";"";"";"";"";"";"";
